,conc,lat,lon
0,12711,53.807107,-1.555838
1,12113,53.80709,-1.55579
2,12709,53.807075,-1.555747
3,12839,53.807068,-1.5557
4,12849,53.807058,-1.555642
5,12809,53.807053,-1.555587
6,12739,53.807043,-1.555538
7,12757,53.807037,-1.555465
8,12911,53.807042,-1.55541
9,13094,53.807037,-1.555343
10,12902,53.807035,-1.555285
11,12835,53.807042,-1.555227
12,13129,53.807045,-1.555177
13,12878,53.807045,-1.555115
14,12385,53.807022,-1.555063
15,12622,53.807003,-1.555007
16,12448,53.806997,-1.554947
17,12535,53.807005,-1.55488
18,12652,53.807018,-1.554832
19,12375,53.807022,-1.554782
20,12452,53.807027,-1.55473
21,12489,53.807025,-1.554672
22,12383,53.807023,-1.554607
23,12241,53.807015,-1.554505
24,12432,53.807015,-1.554442
25,12222,53.807007,-1.554363
26,12359,53.807027,-1.554312
27,12016,53.80706,-1.554275
28,12177,53.807085,-1.554232
29,12069,53.807123,-1.554222
30,12158,53.807167,-1.554235
31,12249,53.807207,-1.554253
32,12245,53.807237,-1.554237
33,12294,53.807258,-1.554205
34,11909,53.807273,-1.554167
35,12314,53.807285,-1.55411
36,12239,53.80728,-1.554052
37,12232,53.80726,-1.554
38,12320,53.80725,-1.553937
39,12381,53.807238,-1.553882
40,12330,53.807242,-1.553807
41,12236,53.807237,-1.553755
42,12286,53.80723,-1.553698
43,12071,53.807238,-1.553642
44,11851,53.80726,-1.553597
45,12191,53.807267,-1.553545
46,11899,53.807238,-1.55348
47,12386,53.80724,-1.553413
48,12177,53.807242,-1.553355
49,12145,53.807223,-1.553307
50,12299,53.807227,-1.55326
51,12348,53.807218,-1.553212
52,12331,53.807232,-1.55317
53,12365,53.807235,-1.553123
54,12303,53.807248,-1.553065
55,12339,53.807258,-1.552998
56,12419,53.807277,-1.552907
57,12437,53.807305,-1.552875
58,12467,53.80733,-1.552833
59,12638,53.80736,-1.552825
60,12328,53.807378,-1.552767
61,12338,53.8074,-1.552717
62,12643,53.80742,-1.552657
63,12495,53.807438,-1.55262
64,12592,53.80746,-1.552583
65,12520,53.807472,-1.552528
66,12344,53.807493,-1.552488
