,conc,lat,lon
0,31274,53.80522,-1.555998
1,31684,53.80551,-1.555898
2,31668,53.805528,-1.556015
3,31995,53.80555,-1.556078
4,32040,53.805607,-1.55607
5,31646,53.805647,-1.556063
6,31678,53.805087,-1.556003
7,31875,53.805058,-1.55605
8,31405,53.80511,-1.556105
9,31396,53.805092,-1.556067
10,30215,53.805083,-1.555957
11,30586,53.805113,-1.555985
12,30351,53.805083,-1.556052
13,30820,53.805078,-1.5561
14,32192,53.805085,-1.556173
15,33297,53.805065,-1.55626
16,33251,53.805092,-1.556292
17,31202,53.805068,-1.556352
18,31866,53.805113,-1.556388
19,31962,53.805145,-1.556415
20,33474,53.805158,-1.556455
21,31839,53.805183,-1.556377
22,32340,53.80521,-1.556352
23,33266,53.805238,-1.556367
24,32013,53.805215,-1.556398
25,32464,53.80527,-1.556417
26,31774,53.80533,-1.556462
27,32439,53.805365,-1.556478
28,32291,53.805428,-1.556525
29,32361,53.805397,-1.556507
30,32099,53.805362,-1.556507
31,32413,53.805343,-1.556458
32,32156,53.805322,-1.55642
33,31467,53.805303,-1.556385
34,31996,53.805312,-1.556325
35,31519,53.805295,-1.556278
36,31119,53.805267,-1.556237
37,31697,53.805245,-1.556203
38,32102,53.805225,-1.556162
39,31845,53.805207,-1.556125
40,31521,53.805142,-1.556128
41,31341,53.80511,-1.556122
42,34855,53.805083,-1.556142
43,32164,53.805062,-1.556178
44,32303,53.805027,-1.556162
45,32288,53.804995,-1.556132
46,35012,53.804965,-1.556098
47,84878,53.804928,-1.556083
48,50094,53.804882,-1.556068
49,37250,53.80486,-1.55604
50,32322,53.804828,-1.556033
51,32274,53.804803,-1.55601
52,32221,53.804773,-1.555963
53,32321,53.804737,-1.555953
54,32747,53.804708,-1.555957
55,31958,53.804652,-1.555958
56,32270,53.804612,-1.555953
57,31803,53.804585,-1.55593
58,31774,53.804552,-1.555872
59,31556,53.804517,-1.555813
60,31816,53.80449,-1.555775
61,31477,53.804467,-1.555747
62,31425,53.804432,-1.555715
63,31794,53.804398,-1.555692
64,31500,53.80438,-1.555657
65,31634,53.804345,-1.55564
66,30934,53.804315,-1.555615
67,30315,53.804278,-1.555602
68,31818,53.80425,-1.55557
69,31388,53.804223,-1.555542
70,31458,53.804187,-1.555547
71,34843,53.804145,-1.555558
72,33149,53.804113,-1.555583
73,32975,53.804075,-1.555603
74,34180,53.804038,-1.555607
75,34246,53.80401,-1.555612
76,31513,53.803953,-1.55561
77,32220,53.803923,-1.555612
78,33677,53.803887,-1.555623
79,32467,53.803858,-1.555633
80,32358,53.803823,-1.555637
81,31393,53.803793,-1.555638
82,30887,53.803752,-1.555648
83,31229,53.8037,-1.555647
84,31784,53.80367,-1.555657
85,32375,53.80364,-1.555667
86,31874,53.803593,-1.555663
87,32353,53.80356,-1.555662
88,32487,53.803535,-1.555643
89,32312,53.8035,-1.555618
90,32428,53.80347,-1.555583
91,32719,53.803448,-1.555533
92,33156,53.803458,-1.55549
93,33274,53.803462,-1.555425
94,33630,53.803473,-1.555378
95,35949,53.803487,-1.555332
96,35311,53.803465,-1.555293
97,35163,53.80344,-1.555265
98,43764,53.803515,-1.555232
99,47186,53.80355,-1.55521
100,38709,53.803642,-1.555202
101,38368,53.803697,-1.555187
102,38439,53.803748,-1.55517
103,38280,53.803775,-1.555148
104,37699,53.803783,-1.555087
105,36504,53.803802,-1.555025
106,37667,53.803815,-1.554967
107,37965,53.803825,-1.554917
108,39018,53.803838,-1.554863
109,37890,53.803828,-1.554817
110,38115,53.80382,-1.554772
111,37776,53.803795,-1.554747
112,37559,53.803765,-1.554718
113,37557,53.803745,-1.55468
114,37684,53.80374,-1.55463
115,37133,53.803743,-1.554572
116,36853,53.803742,-1.554525
117,37045,53.803738,-1.554477
118,37520,53.803738,-1.554413
119,37282,53.803727,-1.554357
120,37139,53.803708,-1.554293
121,40243,53.803697,-1.55425
122,44483,53.803683,-1.554205
123,46288,53.803672,-1.554155
124,46076,53.803665,-1.554108
125,46297,53.803665,-1.55405
126,44982,53.803653,-1.553998
127,43658,53.803637,-1.55395
128,45346,53.803622,-1.553905
129,44284,53.803612,-1.553855
130,43470,53.8036,-1.553805
131,41566,53.803597,-1.553755
132,40723,53.803583,-1.553715
133,38561,53.803573,-1.55366
134,37997,53.803557,-1.553622
135,37344,53.803553,-1.553563
136,37758,53.803557,-1.553507
137,38234,53.803548,-1.553462
138,38539,53.803538,-1.553415
139,38860,53.803542,-1.553368
140,39068,53.803547,-1.553305
141,39647,53.803552,-1.553238
142,36470,53.803545,-1.553178
143,35402,53.803565,-1.553145
144,33966,53.803595,-1.553095
145,34187,53.803617,-1.553047
146,34502,53.80363,-1.55299
147,33473,53.803617,-1.552923
148,33916,53.803605,-1.552875
149,34340,53.8036,-1.552825
150,35217,53.80359,-1.552757
151,34405,53.803583,-1.5527
152,34781,53.803577,-1.55264
153,33786,53.803578,-1.55259
154,34135,53.803587,-1.552527
155,34464,53.803585,-1.552472
156,35977,53.803577,-1.552413
157,57628,53.803572,-1.552355
158,63319,53.80357,-1.552295
159,66243,53.803577,-1.552242
160,36586,53.803582,-1.55217
161,33755,53.803578,-1.552105
162,33780,53.803563,-1.55206
163,33281,53.803553,-1.552012
164,34223,53.80358,-1.551985
165,35226,53.803573,-1.551933
166,36371,53.803558,-1.551895
167,34997,53.80355,-1.551837
168,36628,53.80355,-1.551768
169,37529,53.803557,-1.55172
170,38845,53.803563,-1.551658
171,36885,53.803562,-1.551605
172,36151,53.803557,-1.551558
173,40031,53.803563,-1.551502
174,37744,53.803568,-1.551448
175,43492,53.80358,-1.551388
176,45836,53.803598,-1.55134
177,48201,53.803605,-1.551293
178,46760,53.803612,-1.551227
179,40808,53.803625,-1.55118
180,38850,53.803637,-1.551137
181,38520,53.803627,-1.551073
182,43278,53.803603,-1.551033
183,43533,53.80359,-1.550993
184,45140,53.803573,-1.550955
185,47631,53.803557,-1.550895
186,45124,53.803545,-1.55082
187,41915,53.80353,-1.550763
188,42985,53.80352,-1.55072
189,41518,53.803512,-1.550675
190,50195,53.803495,-1.550612
191,48570,53.803483,-1.550568
192,44030,53.803483,-1.550515
193,45681,53.803498,-1.550473
194,46316,53.803485,-1.550412
195,49050,53.803475,-1.550362
196,50205,53.803438,-1.550343
197,48030,53.803415,-1.550318
198,45025,53.8034,-1.550275
199,45408,53.803375,-1.550248
200,39240,53.803342,-1.550218
201,36124,53.803305,-1.550195
202,34229,53.80328,-1.55017
203,32041,53.803253,-1.550135
204,31232,53.803232,-1.550107
205,30183,53.803207,-1.55004
206,30005,53.803188,-1.54999
207,29381,53.803163,-1.549937
208,29747,53.803142,-1.549892
209,28817,53.803122,-1.549848
210,28480,53.8031,-1.549808
211,28566,53.80307,-1.549773
212,28603,53.80303,-1.549742
213,29851,53.803,-1.549713
214,29807,53.802973,-1.549668
215,33150,53.802967,-1.549623
216,33826,53.80295,-1.549572
217,30402,53.802913,-1.549543
218,29572,53.802885,-1.549535
219,30035,53.802855,-1.549518
220,29720,53.80283,-1.54948
221,30306,53.8028,-1.549432
222,28133,53.80278,-1.549392
223,38655,53.802757,-1.549362
224,33246,53.802732,-1.549328
225,65874,53.8027,-1.549312
226,31527,53.80266,-1.5493
227,30722,53.80263,-1.549282
228,30644,53.802598,-1.549275
229,31017,53.802562,-1.54926
230,30251,53.802533,-1.549233
231,30034,53.802502,-1.549207
232,30025,53.802475,-1.549195
233,31092,53.802445,-1.549158
234,29960,53.802422,-1.54912
235,29081,53.802392,-1.54908
236,29077,53.802358,-1.54906
237,28278,53.802327,-1.549043
238,28857,53.802297,-1.549037
239,29202,53.802263,-1.549032
240,28559,53.80223,-1.549023
241,28331,53.80219,-1.549012
242,27946,53.802155,-1.549018
243,28223,53.802113,-1.549027
244,28068,53.802082,-1.549053
245,28054,53.80204,-1.549048
246,27814,53.802013,-1.549032
247,27375,53.801972,-1.549025
248,27647,53.801943,-1.549018
249,27660,53.801915,-1.549018
250,27442,53.801875,-1.549012
251,27523,53.80184,-1.549017
252,27257,53.80181,-1.549015
253,27617,53.801767,-1.54901
254,28223,53.801713,-1.549012
255,29000,53.801673,-1.549018
256,28971,53.801608,-1.548997
257,32219,53.801575,-1.549
258,30801,53.801485,-1.549042
259,32285,53.801437,-1.549038
260,31145,53.8014,-1.549048
261,29510,53.801358,-1.549057
262,35334,53.801332,-1.549073
263,40520,53.801295,-1.549085
264,31894,53.801252,-1.549155
265,29724,53.8012,-1.549155
266,29910,53.801177,-1.549127
267,37734,53.801137,-1.549172
268,34237,53.801112,-1.5492
269,35567,53.801063,-1.549202
270,36343,53.801025,-1.5492
271,34666,53.800993,-1.549207
272,34245,53.800953,-1.549172
