,conc,lat,lon
0,11937,53.807573,-1.552427
1,11431,53.807573,-1.552451
2,10899,53.807572,-1.552421
3,10371,53.80757,-1.55239
4,10217,53.807568,-1.55236
5,10194,53.807588,-1.55243
6,10119,53.807585,-1.552477
7,10114,53.807593,-1.552348
8,9985,53.80757,-1.552313
9,12297,53.80756,-1.552268
10,11050,53.807588,-1.55229
11,9377,53.807615,-1.552263
12,10329,53.807648,-1.552232
13,10749,53.807675,-1.552217
14,11637,53.807705,-1.55221
15,11855,53.807735,-1.55221
16,12758,53.807765,-1.552208
17,13487,53.8078,-1.552203
18,12252,53.807833,-1.552197
19,13171,53.807867,-1.552193
20,14500,53.807902,-1.552195
21,12399,53.807937,-1.552195
22,11599,53.807972,-1.552198
23,11918,53.808008,-1.552202
24,22021,53.808042,-1.55221
25,30627,53.808073,-1.552217
26,24702,53.808107,-1.552227
27,19438,53.80814,-1.55224
28,18032,53.808172,-1.552253
29,17245,53.808203,-1.552265
30,15990,53.808235,-1.552278
31,15404,53.808268,-1.552295
32,17270,53.8083,-1.552318
33,17428,53.808333,-1.552338
34,17037,53.808365,-1.552362
35,16137,53.808398,-1.552383
36,14042,53.808433,-1.552403
37,13099,53.808468,-1.552423
38,13372,53.808502,-1.552445
39,13800,53.808538,-1.552468
40,14690,53.808572,-1.552492
41,15065,53.808605,-1.552513
42,14927,53.808638,-1.552537
43,14815,53.808667,-1.552558
44,13906,53.808697,-1.552582
45,13996,53.808728,-1.552613
46,14074,53.808762,-1.552643
47,14243,53.808793,-1.552672
48,13480,53.808825,-1.552705
49,12938,53.808857,-1.552745
50,13503,53.808887,-1.552787
51,14140,53.808915,-1.552832
52,14698,53.80895,-1.552877
53,14626,53.808982,-1.55292
54,14549,53.809013,-1.55297
55,15979,53.809045,-1.553017
56,17164,53.809077,-1.553065
57,14825,53.809108,-1.553112
58,14760,53.809138,-1.553163
59,16166,53.809165,-1.553215
60,22194,53.809192,-1.553265
61,29190,53.809218,-1.553317
62,30518,53.809243,-1.553368
63,26081,53.80927,-1.553418
64,23570,53.809295,-1.55347
65,24289,53.80932,-1.55352
66,24244,53.809345,-1.55357
67,26255,53.80937,-1.553623
68,27962,53.809393,-1.553675
69,26546,53.809418,-1.553728
70,23489,53.80944,-1.553782
71,17226,53.809463,-1.553837
72,14037,53.809485,-1.553892
73,13490,53.809507,-1.55395
74,13654,53.809527,-1.554007
75,13726,53.809547,-1.554067
76,14186,53.809565,-1.554127
77,13749,53.809585,-1.554185
78,12982,53.809602,-1.554243
79,12933,53.80962,-1.554302
80,15584,53.809638,-1.554362
81,20699,53.809657,-1.55442
82,22834,53.809675,-1.554478
83,22224,53.809692,-1.554537
84,16927,53.809712,-1.554593
85,14932,53.80973,-1.554647
86,13145,53.80975,-1.554698
87,11854,53.809765,-1.55475
88,13582,53.80978,-1.554805
89,13335,53.809793,-1.554863
90,12512,53.809807,-1.554923
91,12676,53.809818,-1.554983
92,12331,53.80983,-1.555042
93,12424,53.80985,-1.555102
94,12677,53.80987,-1.555158
95,12424,53.809892,-1.555215
96,12684,53.809913,-1.555275
97,13784,53.809933,-1.555333
98,13445,53.809953,-1.555392
99,12367,53.809972,-1.555448
100,12733,53.809992,-1.555503
101,14111,53.810012,-1.55556
102,13892,53.810035,-1.555615
103,12607,53.81006,-1.555668
104,12013,53.810093,-1.55572
105,11584,53.810125,-1.555768
106,11851,53.810157,-1.555815
107,12454,53.810188,-1.55586
108,12879,53.810222,-1.555903
109,13291,53.810255,-1.555945
110,13630,53.810288,-1.555985
111,13956,53.810318,-1.556028
112,14292,53.81035,-1.556072
113,17525,53.810385,-1.556112
114,22744,53.810415,-1.556148
115,26220,53.810437,-1.556185
116,24472,53.810463,-1.556217
117,29344,53.810488,-1.556243
118,33249,53.81052,-1.55626
119,12145,53.810548,-1.55628
120,11412,53.810588,-1.556352
121,11061,53.810617,-1.556395
122,11510,53.810645,-1.556437
123,12009,53.810678,-1.556477
124,12019,53.810712,-1.556512
125,11809,53.810753,-1.556555
126,11485,53.810793,-1.556603
127,11497,53.810832,-1.556652
128,11268,53.810868,-1.556698
129,11205,53.810908,-1.556745
130,10775,53.81095,-1.556793
131,10521,53.81099,-1.55684
132,10612,53.811028,-1.556883
133,10293,53.811067,-1.556932
134,10491,53.811105,-1.556978
135,10468,53.81114,-1.557025
136,10528,53.811178,-1.557072
137,11462,53.811215,-1.55712
138,13467,53.811253,-1.55717
139,12033,53.811293,-1.557218
140,11002,53.811332,-1.557268
141,10716,53.811372,-1.55732
142,11159,53.81141,-1.557373
143,10721,53.81145,-1.55742
144,10979,53.811488,-1.557468
145,11317,53.811527,-1.557518
146,11217,53.811565,-1.557568
147,11124,53.811603,-1.557615
148,11061,53.811642,-1.557663
149,11689,53.81168,-1.557713
150,12303,53.811718,-1.557765
151,12649,53.811758,-1.557815
152,13130,53.811793,-1.557868
153,13085,53.811828,-1.557922
154,12076,53.811865,-1.557973
155,11327,53.811903,-1.558027
156,11145,53.811942,-1.55808
157,11324,53.81198,-1.558137
158,11480,53.81202,-1.558192
159,16746,53.81206,-1.558248
160,18201,53.812102,-1.558303
161,19361,53.81214,-1.558362
162,21588,53.812183,-1.558418
163,25231,53.812225,-1.558475
164,27275,53.812267,-1.558533
165,23316,53.81231,-1.558595
166,17082,53.812357,-1.558657
167,13783,53.812405,-1.55872
168,14263,53.812452,-1.558785
169,15746,53.812497,-1.55885
170,17107,53.812542,-1.558915
171,17751,53.81259,-1.55898
172,16913,53.812637,-1.559043
173,15887,53.812688,-1.559105
174,14001,53.81274,-1.559167
175,13815,53.812792,-1.55923
176,14077,53.812838,-1.559293
177,13526,53.812888,-1.559357
178,13299,53.812935,-1.55942
179,14399,53.812985,-1.559485
180,16129,53.813035,-1.55955
181,17055,53.813087,-1.559615
182,16473,53.813137,-1.559683
183,15175,53.813185,-1.559748
184,14162,53.81323,-1.559812
185,13238,53.813278,-1.559872
186,12760,53.813327,-1.559933
187,12861,53.813373,-1.559995
188,12889,53.813422,-1.560058
189,12336,53.813468,-1.560125
190,11844,53.813517,-1.560188
191,11598,53.813562,-1.560248
192,11447,53.813607,-1.560305
193,11686,53.81365,-1.560362
194,11570,53.813697,-1.56042
195,11513,53.81374,-1.560478
196,11176,53.813782,-1.560537
197,12244,53.813827,-1.560593
198,13018,53.813872,-1.56065
199,13384,53.813915,-1.560707
200,14878,53.81396,-1.560765
201,14557,53.814005,-1.560827
202,12822,53.814055,-1.56089
203,11356,53.814105,-1.560957
204,11413,53.814155,-1.561023
205,11433,53.814207,-1.56109
206,10972,53.814258,-1.56116
207,11728,53.814313,-1.561227
208,12328,53.814365,-1.561292
209,13162,53.814412,-1.56135
210,13435,53.814457,-1.561407
211,13730,53.814498,-1.56146
212,14737,53.814532,-1.561513
213,15358,53.814562,-1.56156
214,14938,53.814583,-1.561595
215,10416,53.81464,-1.561697
216,10495,53.814662,-1.561743
217,9815,53.81469,-1.561798
218,9940,53.814722,-1.561855
219,10406,53.814753,-1.561918
220,10632,53.814787,-1.561983
221,10875,53.814823,-1.562048
222,10785,53.814862,-1.562115
223,10959,53.814895,-1.562183
224,10972,53.814928,-1.562253
225,12117,53.81496,-1.562322
226,13098,53.814992,-1.562392
227,12306,53.815025,-1.562462
228,11990,53.815055,-1.562535
229,11543,53.815085,-1.562608
230,11766,53.815113,-1.562685
231,11634,53.815137,-1.562763
232,11566,53.81516,-1.562842
233,11347,53.815187,-1.562917
234,11237,53.815215,-1.56299
235,11121,53.81524,-1.563062
236,11165,53.815262,-1.563137
237,11506,53.815287,-1.563212
238,13735,53.815315,-1.563287
239,15461,53.81534,-1.56336
240,17279,53.815367,-1.563437
241,17330,53.815397,-1.563513
242,17637,53.815425,-1.563588
243,18280,53.815453,-1.563667
244,17981,53.815485,-1.563745
245,17704,53.81551,-1.56382
246,17884,53.815533,-1.563902
247,17219,53.815558,-1.563983
248,17540,53.815582,-1.564063
249,17513,53.815607,-1.564142
250,14522,53.81563,-1.564223
251,15340,53.815655,-1.564303
252,16532,53.815677,-1.564383
253,17428,53.8157,-1.564463
254,17477,53.815725,-1.564542
255,15046,53.815748,-1.56462
256,13978,53.815773,-1.564698
257,13523,53.815797,-1.564775
258,14078,53.81582,-1.56485
259,14278,53.815843,-1.564923
260,14458,53.815865,-1.564995
261,14578,53.815888,-1.565065
262,14305,53.815908,-1.565135
263,14303,53.815928,-1.565207
264,14125,53.815948,-1.565275
265,16144,53.815967,-1.565342
266,18824,53.815985,-1.565405
267,18886,53.816002,-1.565467
268,17368,53.816018,-1.565527
269,15663,53.816035,-1.565583
270,15353,53.81605,-1.565642
271,17968,53.816068,-1.565698
272,18994,53.816082,-1.565755
273,18020,53.816098,-1.565813
274,16056,53.816113,-1.56587
275,19110,53.81613,-1.565927
276,20029,53.816145,-1.565983
277,17914,53.81616,-1.566038
278,15763,53.816173,-1.566093
279,14642,53.816187,-1.566147
280,12811,53.816198,-1.566197
281,11894,53.81621,-1.566247
282,12364,53.816223,-1.566297
283,12687,53.816235,-1.566347
284,12416,53.816248,-1.566397
285,12440,53.816262,-1.566445
286,11766,53.816273,-1.566495
287,11572,53.816283,-1.566547
288,11791,53.816295,-1.566597
289,12347,53.816307,-1.566647
290,12044,53.81632,-1.566697
291,12116,53.816333,-1.566747
292,11587,53.816345,-1.566795
293,12315,53.816355,-1.566845
294,14419,53.816365,-1.566893
295,15775,53.816377,-1.566942
296,20250,53.816388,-1.566988
297,17984,53.816402,-1.567037
298,19209,53.816415,-1.567087
299,23697,53.816425,-1.567137
300,23051,53.816435,-1.567187
301,23121,53.816447,-1.567233
302,22830,53.816458,-1.567283
303,23502,53.816468,-1.567333
304,23414,53.81648,-1.567385
305,25362,53.81649,-1.567438
306,33184,53.816498,-1.567492
307,41454,53.816507,-1.567545
308,44060,53.816515,-1.567595
309,45705,53.81652,-1.567647
310,43907,53.816528,-1.5677
311,40362,53.816537,-1.567755
312,38111,53.816547,-1.56781
313,34045,53.816555,-1.567865
314,29832,53.816562,-1.567922
315,25232,53.816567,-1.56798
316,23503,53.816575,-1.568035
317,21796,53.816583,-1.56809
318,20362,53.816592,-1.568145
319,18463,53.816602,-1.568198
320,15706,53.816617,-1.568255
321,13531,53.81663,-1.568313
322,13177,53.816642,-1.568368
323,14479,53.816652,-1.568427
324,14294,53.81666,-1.568483
325,15282,53.816667,-1.568542
326,17718,53.816677,-1.568598
327,23152,53.816688,-1.568653
328,30155,53.816702,-1.568712
329,27504,53.816717,-1.56877
330,22126,53.816733,-1.568827
331,16124,53.816752,-1.568882
332,16349,53.816762,-1.568942
333,21971,53.81677,-1.569002
334,31604,53.816782,-1.569062
335,43774,53.81679,-1.569122
336,35770,53.816802,-1.569185
337,22179,53.816813,-1.569245
338,32509,53.816828,-1.569303
339,35731,53.816843,-1.56936
340,28182,53.816858,-1.569418
341,38204,53.816877,-1.569477
342,53757,53.816893,-1.569532
343,33966,53.81691,-1.569588
344,29463,53.816928,-1.569643
345,21631,53.816945,-1.569698
346,14775,53.81696,-1.569755
347,11111,53.816972,-1.569813
348,10639,53.816985,-1.569873
349,10659,53.817002,-1.569935
350,10555,53.817017,-1.569995
351,10504,53.817032,-1.570057
352,10584,53.817047,-1.570118
353,10609,53.817062,-1.57018
354,10824,53.817077,-1.570242
355,11191,53.817092,-1.570305
356,11342,53.817107,-1.570368
357,11364,53.81712,-1.570432
358,11285,53.817133,-1.570492
359,10888,53.817148,-1.570555
360,11157,53.81716,-1.57062
361,11252,53.817172,-1.570688
362,11044,53.817182,-1.570758
363,11103,53.817193,-1.570828
364,11090,53.817207,-1.570898
365,11129,53.81722,-1.570968
366,10946,53.817232,-1.57104
367,11029,53.81724,-1.57111
368,11011,53.81725,-1.571178
369,10828,53.817262,-1.571245
370,10811,53.81727,-1.57131
371,11039,53.817283,-1.571377
372,11210,53.817295,-1.571442
373,11365,53.817308,-1.571508
374,11413,53.817325,-1.571575
375,11188,53.817342,-1.571642
376,11035,53.817357,-1.571712
377,10964,53.81737,-1.571783
378,10933,53.817385,-1.571858
379,11377,53.8174,-1.571935
380,11864,53.817415,-1.572013
381,12970,53.817428,-1.572097
382,13240,53.817437,-1.572183
383,12592,53.817448,-1.572273
384,11472,53.817462,-1.572365
385,11680,53.817475,-1.572457
386,12427,53.817487,-1.572553
387,12889,53.817498,-1.572652
388,13796,53.817513,-1.572753
389,13480,53.817528,-1.572857
390,12515,53.817547,-1.57296
391,13567,53.817567,-1.573062
392,13549,53.8176,-1.57316
393,12755,53.817637,-1.573258
394,13796,53.817678,-1.573352
395,12201,53.817722,-1.573443
396,12164,53.817765,-1.573533
397,15493,53.81781,-1.57362
398,18061,53.817853,-1.573705
399,15604,53.817898,-1.573787
400,14983,53.817943,-1.573865
401,18412,53.81799,-1.573938
402,22612,53.818088,-1.57407
403,19666,53.81814,-1.574128
404,20037,53.818192,-1.574185
405,18697,53.818247,-1.574238
406,16798,53.818303,-1.57429
407,20208,53.818362,-1.57434
408,36662,53.818422,-1.574387
409,31309,53.818483,-1.574433
410,23445,53.818545,-1.574475
411,22774,53.818603,-1.574517
412,20187,53.81866,-1.574562
413,16565,53.818713,-1.574613
414,13282,53.818765,-1.574668
415,11663,53.818815,-1.574728
416,11440,53.818863,-1.574792
417,11484,53.818912,-1.574857
418,11526,53.81896,-1.57493
419,11591,53.81901,-1.575012
420,11695,53.819055,-1.575098
421,12120,53.819092,-1.575177
422,13262,53.819118,-1.575245
423,14781,53.81914,-1.5753
424,18862,53.819162,-1.575357
425,20000,53.819185,-1.575412
426,17342,53.819207,-1.575463
427,15565,53.819228,-1.575512
428,14718,53.819253,-1.575563
429,16465,53.819273,-1.575618
430,19714,53.819292,-1.575675
431,21812,53.819308,-1.575728
432,22353,53.819327,-1.575777
433,21200,53.81935,-1.575828
434,19565,53.81937,-1.575882
435,19242,53.819395,-1.575935
436,18710,53.819418,-1.575985
437,17565,53.819447,-1.576028
438,16030,53.819473,-1.576067
439,15860,53.819505,-1.576102
440,19978,53.819537,-1.576137
441,32397,53.819567,-1.576175
442,63922,53.8196,-1.576212
443,87651,53.819635,-1.576245
444,73250,53.81967,-1.576277
445,53894,53.819712,-1.576305
446,38108,53.81975,-1.576327
447,25422,53.81979,-1.576353
448,20324,53.819828,-1.576387
449,17062,53.819867,-1.576418
450,16421,53.819908,-1.576448
451,21703,53.819948,-1.576478
452,26272,53.81999,-1.576508
453,24887,53.820032,-1.57654
454,17212,53.820073,-1.57657
455,16726,53.820112,-1.576598
456,24862,53.820152,-1.576632
457,37282,53.820192,-1.576663
458,29639,53.82023,-1.576697
459,29555,53.82027,-1.576735
460,29053,53.820308,-1.57677
461,28452,53.820347,-1.576802
462,26227,53.820383,-1.576835
463,26172,53.820422,-1.576868
464,27680,53.82046,-1.576907
465,25811,53.820498,-1.576948
466,32208,53.820532,-1.576965
467,31808,53.820572,-1.576998
468,30250,53.820615,-1.577037
469,38042,53.82066,-1.577078
470,62427,53.820705,-1.577123
471,86660,53.82075,-1.577172
472,44073,53.820795,-1.577218
473,21870,53.820838,-1.577267
474,16267,53.82088,-1.577315
475,15513,53.820922,-1.577353
476,15459,53.820962,-1.577387
477,16344,53.821002,-1.577425
