,conc,lat,lon
0,9375,53.806968,-1.555852
1,9629,53.806921,-1.555858
2,9653,53.806905,-1.555857
3,9597,53.806888,-1.555857
4,9675,53.806872,-1.555857
5,9755,53.806822,-1.555837
6,9534,53.806835,-1.555783
7,9644,53.806852,-1.555742
8,9556,53.806898,-1.555678
9,9511,53.806975,-1.555645
10,9629,53.807075,-1.555585
11,9533,53.807115,-1.555585
12,9691,53.807152,-1.555572
13,9472,53.807188,-1.555552
14,8954,53.807218,-1.555555
15,9427,53.807238,-1.555627
16,9490,53.807262,-1.555652
17,9628,53.8073,-1.555672
18,9449,53.807327,-1.555687
19,9567,53.807358,-1.555703
20,9615,53.807388,-1.555717
21,9964,53.807418,-1.555738
22,10022,53.807435,-1.55582
23,9885,53.80743,-1.555888
24,9380,53.807433,-1.55595
25,9530,53.807455,-1.55602
26,9892,53.807453,-1.556098
27,9977,53.807438,-1.556155
28,9858,53.807395,-1.556223
29,10039,53.807355,-1.556257
30,9917,53.807358,-1.556317
31,10163,53.80735,-1.556377
32,9845,53.8073,-1.556385
33,9882,53.807288,-1.556338
34,10047,53.80726,-1.556345
35,10176,53.807252,-1.5564
36,10253,53.80731,-1.556455
37,10328,53.807333,-1.556485
38,10184,53.80736,-1.556502
39,9847,53.807377,-1.556578
40,9887,53.807393,-1.556625
41,10261,53.807418,-1.556687
42,10265,53.807438,-1.556745
43,10403,53.807478,-1.556778
44,10255,53.807502,-1.556842
45,10215,53.807515,-1.556922
46,10200,53.80754,-1.557
47,10276,53.807552,-1.557075
48,10214,53.807562,-1.55712
49,0,53.807592,-1.557163
50,0,53.80762,-1.557147
51,0,53.807688,-1.557212
52,0,53.807713,-1.557255
53,0,53.80775,-1.557315
54,0,53.807813,-1.557387
55,89,53.807917,-1.557455
56,727,53.80796,-1.557577
57,1684,53.80789,-1.55734
58,2922,53.807862,-1.557247
59,4018,53.807837,-1.557217
60,5865,53.807847,-1.557268
61,9288,53.807835,-1.557318
62,9841,53.807888,-1.557355
63,9972,53.807932,-1.557377
64,10430,53.807968,-1.557372
65,10456,53.807998,-1.55735
66,10659,53.80803,-1.557322
67,10528,53.808062,-1.557298
68,10695,53.808088,-1.557278
69,10800,53.808123,-1.557267
70,10661,53.808163,-1.557273
71,10665,53.808195,-1.557278
72,10410,53.808228,-1.557267
73,10760,53.808267,-1.557238
74,10953,53.808293,-1.557222
75,10978,53.808325,-1.557202
76,10628,53.80836,-1.557177
77,10379,53.80839,-1.557145
78,10894,53.808412,-1.557115
79,10871,53.808432,-1.557082
80,10864,53.808463,-1.557052
81,10690,53.80849,-1.55703
82,10741,53.808527,-1.557002
83,10700,53.808562,-1.556978
84,10475,53.808593,-1.556962
85,10622,53.808625,-1.556932
86,10661,53.808657,-1.556898
87,10553,53.808687,-1.556852
88,10423,53.80871,-1.55681
89,10423,53.808737,-1.55678
90,10360,53.808762,-1.556752
91,10643,53.808787,-1.55671
92,10205,53.808817,-1.556667
93,10164,53.808855,-1.556627
94,10166,53.808887,-1.556615
95,10263,53.808922,-1.556587
96,10214,53.808963,-1.55658
97,9866,53.809003,-1.556565
98,10089,53.809052,-1.556548
99,10542,53.809077,-1.556527
100,10636,53.809112,-1.556512
101,10666,53.809148,-1.556515
102,10763,53.809177,-1.556537
103,10608,53.809212,-1.556545
104,10814,53.809242,-1.556558
105,10872,53.809273,-1.556563
106,11053,53.809302,-1.556543
107,10391,53.809328,-1.55658
108,10386,53.809355,-1.556607
109,10408,53.809378,-1.556635
110,10378,53.809403,-1.556662
111,10581,53.809423,-1.556693
112,10800,53.809447,-1.55672
113,10929,53.809468,-1.556748
114,10829,53.8095,-1.556797
115,10693,53.80952,-1.55684
116,10697,53.809533,-1.556902
117,10647,53.809535,-1.556958
118,10997,53.80954,-1.557008
119,11135,53.809538,-1.557057
120,11074,53.809537,-1.557105
121,11229,53.80954,-1.55716
122,11220,53.80957,-1.557208
123,11133,53.809592,-1.557252
124,11080,53.809603,-1.557307
125,11228,53.80961,-1.557368
126,11214,53.809603,-1.557428
127,11336,53.809618,-1.557467
128,11440,53.809638,-1.557508
129,11043,53.809675,-1.557552
130,11260,53.809712,-1.557595
131,11253,53.809718,-1.557642
132,11236,53.809722,-1.55769
133,11504,53.809712,-1.557743
134,11447,53.809733,-1.557792
135,11258,53.809763,-1.557833
136,11055,53.809795,-1.557863
137,11219,53.809833,-1.557882
138,11272,53.809873,-1.557857
139,11357,53.809913,-1.557827
140,10842,53.809945,-1.557797
141,10763,53.809972,-1.557777
142,10974,53.81,-1.55777
143,11653,53.810035,-1.557722
144,11912,53.810068,-1.55766
145,11866,53.810087,-1.557623
146,11562,53.810125,-1.557575
147,11869,53.810153,-1.557537
148,11586,53.81018,-1.557525
149,11794,53.810205,-1.557475
150,12011,53.810225,-1.557442
151,11938,53.810248,-1.557392
152,11873,53.81027,-1.557362
153,11957,53.810313,-1.557328
154,11942,53.810343,-1.557305
155,11745,53.810373,-1.557262
156,12217,53.81039,-1.557217
157,12838,53.810408,-1.557162
158,13083,53.810428,-1.557097
159,14149,53.810453,-1.557058
160,14436,53.810483,-1.55702
161,13160,53.810492,-1.556973
162,13123,53.8105,-1.556913
163,13256,53.81052,-1.556847
164,13078,53.810548,-1.55677
165,12779,53.810562,-1.556728
166,13034,53.810575,-1.556663
167,12725,53.810587,-1.5566
168,12514,53.810585,-1.556552
169,12418,53.810557,-1.556497
170,21309,53.810585,-1.556515
171,24166,53.81062,-1.556528
172,20573,53.810652,-1.556512
173,20648,53.810678,-1.556488
