,conc,lat,lon
0,36368,53.800723,-1.549108
1,36614,53.800693,-1.549153
2,36931,53.80067,-1.549183
3,36773,53.800638,-1.549188
4,35006,53.80065,-1.549135
5,36317,53.800653,-1.549075
6,37876,53.800643,-1.549017
7,38565,53.800628,-1.548978
8,56969,53.800597,-1.548937
9,34441,53.800563,-1.548963
10,38291,53.800533,-1.548972
11,30295,53.800507,-1.548963
12,33605,53.800473,-1.54895
13,31765,53.800443,-1.548928
14,29645,53.800408,-1.548918
15,27268,53.800378,-1.548905
16,28752,53.800355,-1.548868
17,33388,53.800322,-1.54886
18,27047,53.800288,-1.548873
19,22189,53.80026,-1.548887
20,22226,53.800232,-1.548912
21,24665,53.8002,-1.548942
22,34647,53.800165,-1.54898
23,25873,53.800135,-1.549003
24,29827,53.800108,-1.549033
25,32038,53.80007,-1.549043
26,26104,53.800033,-1.54908
27,25462,53.799977,-1.549173
28,25571,53.79995,-1.549185
29,25786,53.799945,-1.549132
30,25498,53.799947,-1.549072
31,25009,53.799925,-1.549037
32,24706,53.799887,-1.549007
33,24183,53.799855,-1.548967
34,22493,53.799842,-1.54892
35,19921,53.799815,-1.548873
36,19302,53.799787,-1.54884
37,19309,53.799772,-1.548802
38,21200,53.79975,-1.54876
39,92670,53.799745,-1.548705
40,23838,53.799728,-1.548653
41,24990,53.799732,-1.548598
42,24716,53.799732,-1.548552
43,29239,53.799733,-1.5485
44,49744,53.799718,-1.548457
45,54355,53.799697,-1.548418
46,30913,53.799687,-1.54837
47,28735,53.799688,-1.548312
48,25681,53.79969,-1.548262
49,27750,53.79969,-1.548208
50,50240,53.799663,-1.548182
51,55654,53.79966,-1.548123
52,50408,53.799655,-1.548073
53,30812,53.799658,-1.548023
54,29909,53.799698,-1.547952
55,30007,53.79974,-1.547902
56,32532,53.799753,-1.547833
57,33111,53.799768,-1.547768
58,32969,53.799795,-1.547693
59,33327,53.799813,-1.547657
60,33830,53.799845,-1.547618
61,32984,53.799878,-1.547572
62,29648,53.799928,-1.54752
63,25567,53.799972,-1.547475
64,29336,53.800003,-1.547428
65,29923,53.800043,-1.547382
66,25949,53.800082,-1.547333
67,30688,53.800068,-1.547282
68,32353,53.80006,-1.547233
69,27207,53.80008,-1.5472
70,23257,53.80013,-1.547127
71,30904,53.800162,-1.547085
72,34077,53.800135,-1.547005
73,25042,53.800112,-1.546982
74,27219,53.800089,-1.54696
75,31203,53.800066,-1.546938
76,31865,53.800043,-1.546915
77,30351,53.80002,-1.546893
78,40554,53.799977,-1.546898
79,60496,53.799703,-1.547027
80,52853,53.799588,-1.547092
81,50023,53.799547,-1.547108
82,51262,53.79952,-1.547118
83,34590,53.799482,-1.547133
84,75922,53.79944,-1.547162
85,38504,53.799408,-1.547178
86,24482,53.799375,-1.547197
87,26604,53.799345,-1.547205
88,37245,53.799313,-1.547215
89,35770,53.799283,-1.547233
90,31793,53.799252,-1.547247
91,27898,53.799228,-1.547275
92,25179,53.799187,-1.547238
93,28264,53.799152,-1.547237
94,186642,53.799112,-1.547242
95,91370,53.799087,-1.547217
96,50354,53.799025,-1.547206
97,30879,53.798997,-1.547211
98,32998,53.798969,-1.547215
99,41421,53.798941,-1.547219
100,47902,53.798913,-1.547223
101,48850,53.798885,-1.547228
102,51041,53.798857,-1.547232
103,52305,53.798828,-1.547236
104,51087,53.7988,-1.547241
105,53919,53.798772,-1.547245
106,55289,53.798744,-1.547249
107,58907,53.798716,-1.547253
108,53207,53.798688,-1.547258
109,46236,53.79866,-1.547262
110,43961,53.798652,-1.547217
111,46072,53.798628,-1.54719
112,45365,53.798598,-1.547193
113,53354,53.798567,-1.5472
114,48689,53.798532,-1.547193
115,50712,53.798498,-1.547187
116,58867,53.798457,-1.547177
117,59108,53.798427,-1.547163
118,58712,53.798392,-1.547133
119,71921,53.798352,-1.54712
120,72993,53.798318,-1.54713
121,68203,53.798283,-1.54715
122,65628,53.798252,-1.547168
123,57267,53.798225,-1.547182
124,47554,53.798197,-1.547197
125,54441,53.798168,-1.547187
126,68476,53.798133,-1.547188
127,62243,53.798098,-1.547197
128,50479,53.798068,-1.547203
129,36559,53.798038,-1.547192
130,44688,53.798012,-1.547183
131,58816,53.797985,-1.547165
132,49194,53.797958,-1.547178
133,27936,53.797942,-1.547137
134,25494,53.797915,-1.547125
135,26174,53.797885,-1.547113
136,25280,53.797857,-1.547093
137,28182,53.797837,-1.547057
138,28281,53.797808,-1.54704
139,27155,53.79778,-1.547052
140,26416,53.79775,-1.547075
141,21792,53.797708,-1.547102
142,19147,53.797667,-1.547107
143,22581,53.797627,-1.547108
144,25382,53.797597,-1.547117
145,23226,53.797562,-1.547115
146,22821,53.797518,-1.547122
147,22093,53.797488,-1.547127
148,21941,53.797455,-1.547115
149,21681,53.797417,-1.547132
150,24328,53.797373,-1.547137
151,24461,53.797328,-1.547147
152,24627,53.797287,-1.547172
153,25350,53.797248,-1.547185
154,25104,53.797218,-1.547205
155,25284,53.79718,-1.547222
156,24370,53.797147,-1.547233
157,23824,53.797117,-1.547232
158,23090,53.797088,-1.547218
159,22621,53.79706,-1.547218
160,22675,53.79702,-1.547245
161,23533,53.79699,-1.547265
162,23353,53.796958,-1.547283
163,23703,53.796928,-1.547293
164,23765,53.796895,-1.547302
165,22972,53.796868,-1.547338
166,23127,53.796837,-1.547343
167,16968,53.796807,-1.547352
168,17878,53.796782,-1.547372
169,17921,53.796752,-1.547337
170,18996,53.796725,-1.547322
171,21316,53.796693,-1.547325
172,23343,53.796663,-1.547358
173,23229,53.796652,-1.547408
174,22579,53.79662,-1.54743
175,22785,53.796595,-1.547452
176,21545,53.79657,-1.547472
177,21190,53.796533,-1.547478
178,21981,53.796505,-1.547468
179,21645,53.796475,-1.547472
180,22409,53.796443,-1.54747
181,22800,53.796413,-1.547458
182,23756,53.796382,-1.547462
183,22702,53.796352,-1.547458
184,22438,53.796318,-1.547445
185,27406,53.796287,-1.547432
186,29698,53.79626,-1.547403
187,28403,53.796232,-1.547373
188,28381,53.796213,-1.547327
189,29433,53.796183,-1.54732
190,30658,53.796148,-1.547323
191,31292,53.796112,-1.547307
192,32505,53.796077,-1.54731
193,32909,53.796042,-1.54732
194,37022,53.796013,-1.547307
195,28599,53.795975,-1.547303
196,31375,53.79595,-1.547332
197,25471,53.795923,-1.547352
198,22858,53.795902,-1.547388
199,22402,53.795872,-1.547417
200,22719,53.795837,-1.54744
201,21594,53.795808,-1.547455
202,186826,53.795782,-1.54747
203,29727,53.795755,-1.547487
204,22944,53.795725,-1.547503
205,22054,53.79569,-1.54752
206,22687,53.795662,-1.547523
207,22963,53.795622,-1.547525
208,32298,53.795583,-1.547503
209,34245,53.795553,-1.547475
210,24590,53.795543,-1.547432
211,24629,53.795517,-1.54739
212,24201,53.795493,-1.547355
213,25575,53.79547,-1.547312
214,25992,53.795435,-1.547313
215,26025,53.795408,-1.547325
216,25692,53.795372,-1.547308
217,31933,53.795333,-1.54726
218,31245,53.795317,-1.547222
219,34573,53.795302,-1.547158
220,34209,53.795305,-1.54711
221,31759,53.795292,-1.547068
222,27437,53.79529,-1.547002
223,27803,53.795285,-1.54694
224,26952,53.795262,-1.546907
225,25014,53.795205,-1.546897
226,24063,53.795163,-1.547005
227,23786,53.795143,-1.547038
228,23670,53.795212,-1.546993
229,23074,53.795197,-1.547035
230,22960,53.795243,-1.547022
231,22902,53.795268,-1.547045
232,22930,53.79528,-1.547088
233,22882,53.795272,-1.547137
234,22854,53.795253,-1.547175
235,22894,53.795237,-1.547218
236,22357,53.795208,-1.547265
237,22466,53.795188,-1.54731
238,21581,53.795178,-1.547363
239,21678,53.795155,-1.547387
240,21582,53.795127,-1.547415
241,17987,53.7951,-1.547455
242,18080,53.795122,-1.54735
243,17579,53.795082,-1.547445
244,17684,53.7951,-1.54752
245,17473,53.795085,-1.547578
