,conc,lat,lon
0,11970,53.807513,-1.55247
1,12172,53.807533,-1.552505
2,12118,53.807553,-1.552537
3,14288,53.8076,-1.552505
4,13788,53.807625,-1.552477
5,13981,53.807662,-1.552435
6,13625,53.807695,-1.552402
7,13617,53.807725,-1.552373
8,13527,53.807747,-1.55233
9,13372,53.807772,-1.552302
10,12904,53.807802,-1.55228
11,14325,53.807828,-1.552267
12,13815,53.807857,-1.552263
13,16264,53.807885,-1.552263
14,15316,53.807912,-1.552273
15,16251,53.807947,-1.552277
16,15385,53.807978,-1.552253
17,15443,53.808007,-1.552248
18,17193,53.808033,-1.552263
19,15711,53.80806,-1.552288
20,15531,53.808093,-1.552303
21,15792,53.808127,-1.55229
22,15269,53.808155,-1.552297
23,15095,53.808187,-1.552283
24,15058,53.808215,-1.552288
25,13872,53.808247,-1.55231
26,15328,53.808273,-1.552333
27,16017,53.8083,-1.55238
28,14715,53.80833,-1.552408
29,16794,53.80837,-1.552443
30,15558,53.808415,-1.552472
31,16327,53.808472,-1.552497
32,16088,53.808507,-1.552483
33,16731,53.80857,-1.55251
34,16749,53.808617,-1.552512
35,21135,53.808663,-1.552523
36,19983,53.808702,-1.552538
37,21823,53.808755,-1.552563
38,20639,53.808787,-1.55256
39,19686,53.808828,-1.552582
40,29977,53.808853,-1.552622
41,27411,53.80889,-1.552637
42,20282,53.808938,-1.552642
43,20757,53.808982,-1.552652
44,16413,53.809013,-1.552683
45,19087,53.809045,-1.552688
46,16115,53.809068,-1.552735
47,14643,53.809085,-1.552773
48,13666,53.809107,-1.552813
49,14180,53.809128,-1.552843
50,13160,53.809155,-1.552862
51,13010,53.80918,-1.5529
52,13473,53.809203,-1.552947
53,13556,53.809222,-1.552982
54,13893,53.809242,-1.553027
55,13753,53.809257,-1.553077
56,13643,53.809268,-1.55313
57,13416,53.80928,-1.55319
58,13701,53.809292,-1.553245
59,13812,53.809315,-1.553297
60,13182,53.809338,-1.55334
61,13456,53.809365,-1.553378
62,13367,53.809377,-1.553432
63,13324,53.809387,-1.553483
64,14104,53.809397,-1.553533
65,13841,53.809412,-1.553578
66,14715,53.809427,-1.553628
67,15295,53.809448,-1.553677
68,13439,53.809467,-1.553725
69,13968,53.809477,-1.553773
70,16440,53.809495,-1.553815
71,17816,53.80951,-1.553853
72,16088,53.809507,-1.5539
73,18859,53.80952,-1.553945
74,21071,53.80953,-1.553993
75,18469,53.809542,-1.554035
76,19546,53.809552,-1.554085
77,23537,53.809562,-1.554137
78,25913,53.809587,-1.554183
79,26421,53.80958,-1.55423
80,25756,53.809597,-1.554277
81,15567,53.809602,-1.55433
82,14170,53.80961,-1.554383
83,17342,53.809617,-1.55444
84,17031,53.809625,-1.554485
85,15697,53.80964,-1.554525
86,17024,53.80965,-1.55457
87,15941,53.80966,-1.554617
88,16605,53.809682,-1.554657
89,16885,53.809697,-1.554705
90,15855,53.809703,-1.554755
91,17275,53.809717,-1.554802
92,18915,53.809725,-1.554857
93,13508,53.809737,-1.554898
94,19742,53.809732,-1.554947
95,21298,53.809752,-1.554997
96,28586,53.809753,-1.555048
97,33443,53.809787,-1.555097
98,36194,53.809815,-1.555122
99,44109,53.80982,-1.555188
100,40650,53.80983,-1.555245
101,25540,53.80984,-1.555295
102,30128,53.80984,-1.555343
103,19154,53.80984,-1.555393
104,16209,53.80985,-1.555437
105,16689,53.80987,-1.555488
106,17252,53.80989,-1.555532
107,17056,53.809918,-1.555548
108,17066,53.809967,-1.555572
109,16797,53.810008,-1.55559
110,20028,53.810038,-1.555615
111,31566,53.810052,-1.555662
112,53917,53.810063,-1.555707
113,58586,53.81007,-1.55576
114,30492,53.810102,-1.555787
115,16939,53.81013,-1.555823
116,17874,53.810158,-1.555863
117,18708,53.810183,-1.555907
118,19997,53.810213,-1.555933
119,21693,53.810233,-1.555985
120,22350,53.810257,-1.556013
121,26574,53.810275,-1.556055
122,36466,53.810303,-1.556073
123,33864,53.81033,-1.556083
124,29439,53.810353,-1.556113
125,26539,53.810385,-1.556148
126,22375,53.810405,-1.556188
127,16547,53.810432,-1.556232
128,20949,53.810462,-1.556253
129,21609,53.810485,-1.556278
130,45810,53.810512,-1.556308
131,59347,53.810542,-1.556342
132,30628,53.810557,-1.556387
133,25750,53.810565,-1.556442
134,26289,53.810582,-1.556493
135,23625,53.810612,-1.556525
136,23027,53.810648,-1.556522
137,17531,53.810673,-1.55654
138,14413,53.810702,-1.556572
139,13994,53.81073,-1.5566
140,13252,53.810755,-1.556622
141,15565,53.810775,-1.556667
142,17037,53.810812,-1.556675
143,16499,53.810847,-1.556698
144,13454,53.810877,-1.556742
145,14672,53.810903,-1.556782
146,14924,53.810927,-1.55681
147,13318,53.810955,-1.556828
148,13464,53.810987,-1.556872
149,13600,53.811008,-1.5569
150,13761,53.811032,-1.556925
151,13832,53.811058,-1.556967
152,13882,53.811083,-1.556988
153,17199,53.811108,-1.557028
154,14676,53.811128,-1.557065
155,14675,53.811155,-1.557103
156,14536,53.811183,-1.557145
157,14920,53.81122,-1.557183
158,15035,53.811242,-1.557225
159,15774,53.81126,-1.557268
160,17184,53.81128,-1.557312
161,18362,53.811302,-1.557343
162,19443,53.811325,-1.557387
163,13849,53.811355,-1.557423
164,16937,53.811377,-1.557462
165,16086,53.811403,-1.5575
166,15850,53.811432,-1.557533
167,17088,53.811462,-1.557567
168,17435,53.811485,-1.557598
169,16774,53.811507,-1.557633
170,15150,53.811522,-1.557672
171,14601,53.81154,-1.557717
172,14553,53.811558,-1.557752
173,14895,53.811578,-1.557785
174,14184,53.8116,-1.557817
175,14159,53.811632,-1.557852
176,14157,53.811662,-1.557872
177,14815,53.811683,-1.5579
178,15028,53.811707,-1.55793
179,14855,53.81173,-1.557962
180,15513,53.811753,-1.558002
181,14805,53.811788,-1.558033
182,14777,53.811817,-1.558067
183,14962,53.811845,-1.5581
184,20952,53.811878,-1.558132
185,17411,53.811908,-1.558163
186,16456,53.811935,-1.558185
187,16853,53.811967,-1.558208
188,15748,53.812002,-1.558237
189,15777,53.812025,-1.558262
190,14204,53.812052,-1.558308
191,13681,53.812075,-1.558332
192,16226,53.8121,-1.558368
193,16477,53.812127,-1.558412
194,13980,53.812145,-1.558455
195,14270,53.81217,-1.558493
196,15173,53.812195,-1.558523
197,13711,53.812225,-1.55855
198,13438,53.812255,-1.55858
199,12940,53.812273,-1.558615
200,13337,53.812295,-1.558653
201,13000,53.812325,-1.558688
202,13136,53.81235,-1.55873
203,13010,53.812378,-1.558762
204,12892,53.812403,-1.558787
205,13033,53.812432,-1.558825
206,13163,53.812457,-1.558855
207,21410,53.812483,-1.558892
208,52958,53.812507,-1.55893
209,39098,53.812532,-1.55896
210,23523,53.81255,-1.558995
211,25350,53.812578,-1.559032
212,29260,53.812603,-1.559067
213,16378,53.81263,-1.559105
214,31345,53.812658,-1.559145
215,33273,53.812688,-1.55918
216,33372,53.812715,-1.5592
217,23627,53.81274,-1.559225
218,26461,53.812762,-1.559263
219,15355,53.812785,-1.559315
220,24924,53.812805,-1.559357
221,33162,53.812828,-1.559392
222,15072,53.812852,-1.559427
223,17403,53.812878,-1.559472
224,15015,53.812908,-1.559507
225,15450,53.812942,-1.559543
226,13192,53.81297,-1.559582
227,13025,53.812997,-1.559615
228,12842,53.81302,-1.559638
229,13881,53.81305,-1.559677
230,17579,53.813078,-1.559703
231,18343,53.813102,-1.559732
232,20883,53.813125,-1.559765
233,16005,53.81315,-1.559803
234,13470,53.813167,-1.55985
235,12852,53.813192,-1.559868
236,12845,53.813217,-1.559893
237,12981,53.813248,-1.55992
238,12705,53.813283,-1.559958
239,12904,53.813317,-1.559988
240,12897,53.813342,-1.560028
241,13179,53.81337,-1.560072
242,13238,53.8134,-1.560107
243,13267,53.813422,-1.560137
244,13287,53.81344,-1.560172
245,13420,53.81346,-1.560207
246,15382,53.81349,-1.560248
247,15387,53.813515,-1.560287
248,14164,53.813543,-1.560325
249,13324,53.813568,-1.560357
250,13017,53.813592,-1.560392
251,12766,53.813613,-1.560422
252,12677,53.813633,-1.560453
253,12825,53.81366,-1.560488
254,12707,53.81369,-1.560527
255,14897,53.813715,-1.560562
256,18425,53.813738,-1.560597
257,16106,53.813767,-1.56063
258,13148,53.813797,-1.560668
259,41076,53.813822,-1.5607
260,21447,53.813842,-1.56074
261,24367,53.813858,-1.560788
262,27128,53.813868,-1.56084
263,19210,53.813885,-1.56088
264,17536,53.81392,-1.560898
265,15546,53.813948,-1.560908
266,14195,53.813987,-1.560935
267,14129,53.814015,-1.56096
268,15014,53.814042,-1.56098
269,14656,53.81406,-1.56102
270,14239,53.81407,-1.561073
271,22365,53.814098,-1.561117
272,30866,53.814118,-1.561152
273,17615,53.814152,-1.561177
274,16638,53.81418,-1.561185
275,16279,53.814208,-1.56121
276,15964,53.814247,-1.561222
277,16250,53.814273,-1.561258
278,13766,53.814305,-1.561293
279,13288,53.81434,-1.561323
280,13317,53.814367,-1.561332
281,13990,53.814395,-1.561342
282,14149,53.814427,-1.561365
283,13852,53.81446,-1.56139
284,15346,53.814488,-1.561427
285,15568,53.814515,-1.561452
286,15661,53.814545,-1.56147
287,15752,53.814578,-1.561498
288,16787,53.814605,-1.56151
289,17862,53.814637,-1.56155
290,13267,53.814658,-1.561603
291,13311,53.814663,-1.56165
292,15290,53.814667,-1.561738
293,17529,53.814675,-1.561797
294,16785,53.814687,-1.561847
295,16776,53.814703,-1.56189
296,14244,53.814722,-1.561933
297,15621,53.814747,-1.561973
298,15287,53.81477,-1.562017
299,14973,53.814788,-1.562065
300,14862,53.814815,-1.562098
301,16374,53.814843,-1.56213
302,15809,53.814873,-1.562172
303,15568,53.814893,-1.562205
304,14408,53.814915,-1.562255
305,15271,53.814933,-1.562292
306,16013,53.814952,-1.562348
307,15602,53.814975,-1.562383
308,35915,53.814985,-1.562433
309,15672,53.815,-1.562478
310,15819,53.815003,-1.562527
311,14984,53.815025,-1.562568
312,15274,53.81505,-1.562603
313,12644,53.815077,-1.562632
314,12680,53.8151,-1.562658
315,14782,53.815117,-1.562707
316,13771,53.81512,-1.562757
317,16195,53.815123,-1.562815
318,12607,53.815132,-1.562872
319,12912,53.815157,-1.562937
320,12833,53.815173,-1.562987
321,12755,53.815182,-1.563042
322,12686,53.815195,-1.563102
323,12825,53.815213,-1.563148
324,12783,53.815247,-1.563178
325,12669,53.815273,-1.563215
326,12435,53.815295,-1.563247
327,12619,53.815318,-1.563275
328,13735,53.815338,-1.563328
329,13872,53.81534,-1.563383
330,13922,53.81535,-1.563432
331,17155,53.815358,-1.563483
332,19867,53.81537,-1.563527
333,13551,53.815398,-1.56357
334,14708,53.815423,-1.563615
335,13121,53.815438,-1.563667
336,14583,53.81546,-1.563708
337,16432,53.815478,-1.563748
338,14298,53.815498,-1.563798
339,13451,53.815513,-1.563862
340,13694,53.815517,-1.563917
341,13383,53.815518,-1.563965
342,13094,53.815522,-1.564022
343,13239,53.815523,-1.564083
344,15265,53.815538,-1.564123
345,25116,53.81555,-1.564168
346,21383,53.815573,-1.564217
347,25070,53.815593,-1.564265
348,20204,53.815603,-1.564323
349,13238,53.815615,-1.564372
350,15512,53.815633,-1.564412
351,15198,53.815658,-1.564465
352,14622,53.815682,-1.564493
353,14689,53.815702,-1.564528
354,14642,53.815725,-1.564557
355,15345,53.81575,-1.564603
356,22444,53.815775,-1.56465
357,27261,53.815793,-1.5647
358,23798,53.815812,-1.564745
359,19885,53.815827,-1.564788
360,20022,53.815848,-1.564842
361,20656,53.815868,-1.564873
362,21835,53.815885,-1.564932
363,20585,53.815893,-1.564985
364,22528,53.815898,-1.56503
365,16590,53.815903,-1.565082
366,20731,53.81591,-1.56514
367,17324,53.815915,-1.5652
368,19683,53.815937,-1.565255
369,22073,53.815953,-1.56531
370,16351,53.81597,-1.565362
371,22584,53.815975,-1.565413
372,21965,53.815985,-1.56546
373,19285,53.816003,-1.565495
374,14488,53.816023,-1.565542
375,14154,53.816037,-1.565583
376,13910,53.816058,-1.565617
377,13886,53.816083,-1.565648
378,14149,53.816105,-1.56568
379,14450,53.816123,-1.565737
380,15056,53.816147,-1.565785
381,27128,53.816158,-1.56583
382,22789,53.816162,-1.565877
383,21460,53.816175,-1.565922
384,24261,53.816192,-1.565965
385,25159,53.81621,-1.566022
386,19831,53.816225,-1.56607
387,16644,53.816238,-1.566117
388,14815,53.816245,-1.566165
389,14393,53.816252,-1.566215
390,17652,53.816267,-1.56626
391,17840,53.816283,-1.566305
392,27077,53.816295,-1.566355
393,25010,53.81629,-1.566405
394,21026,53.816287,-1.566463
395,36571,53.816305,-1.566512
396,26368,53.816317,-1.566567
397,20229,53.816332,-1.566612
398,19406,53.816348,-1.566655
399,20710,53.81636,-1.566707
400,18444,53.816382,-1.566758
401,21008,53.816392,-1.566813
402,20578,53.816397,-1.566867
403,31957,53.81641,-1.566913
404,24176,53.816415,-1.566975
405,24396,53.816423,-1.567028
406,54041,53.81643,-1.56709
407,46861,53.81645,-1.567142
408,23999,53.816463,-1.567188
409,22274,53.816468,-1.567255
410,41270,53.816472,-1.567312
411,26424,53.81649,-1.567363
412,14158,53.8165,-1.567418
413,16810,53.81651,-1.567468
414,15076,53.816507,-1.567532
415,13577,53.816503,-1.56758
416,14402,53.816502,-1.567637
417,23881,53.8165,-1.567695
418,26523,53.816512,-1.567745
419,20059,53.816522,-1.567797
420,18698,53.816537,-1.567855
421,20348,53.816543,-1.567917
422,16414,53.816552,-1.567972
423,14499,53.81655,-1.568018
424,15840,53.81656,-1.568073
425,14819,53.816563,-1.56813
426,17085,53.81657,-1.568187
427,21327,53.816588,-1.568227
428,16969,53.816605,-1.568277
429,15737,53.816617,-1.568328
430,15458,53.816623,-1.568383
431,14728,53.816633,-1.568438
432,14261,53.81664,-1.56849
433,14973,53.816638,-1.568553
434,14532,53.816638,-1.568623
435,13969,53.81664,-1.568678
436,13841,53.816648,-1.56874
437,14373,53.816668,-1.568775
438,16167,53.816685,-1.568823
439,16223,53.816692,-1.568868
440,19525,53.816705,-1.568925
441,15596,53.816715,-1.568988
442,18067,53.816728,-1.56905
443,14525,53.816743,-1.569107
444,25148,53.816757,-1.569153
445,18597,53.816767,-1.569213
446,17478,53.816763,-1.569272
447,16762,53.816772,-1.569332
448,16364,53.816778,-1.569387
449,15426,53.816797,-1.569442
450,14513,53.81681,-1.56949
451,14292,53.816827,-1.569533
452,16115,53.816837,-1.56958
453,15272,53.81686,-1.569633
454,13682,53.816875,-1.569685
455,13772,53.816882,-1.569738
456,14640,53.816883,-1.569798
457,14637,53.816893,-1.56985
458,14812,53.816907,-1.56989
459,14675,53.816923,-1.56994
460,15053,53.816935,-1.569983
461,14331,53.816948,-1.570027
462,17161,53.816963,-1.570072
463,15879,53.816997,-1.57012
464,16772,53.817027,-1.570165
465,18198,53.81706,-1.570198
466,21389,53.81707,-1.570252
467,20985,53.817083,-1.570302
468,19182,53.817095,-1.570357
469,24465,53.817102,-1.570418
470,58345,53.817092,-1.570473
471,31154,53.8171,-1.570532
472,32526,53.817118,-1.570572
473,32557,53.817133,-1.57061
474,23832,53.81715,-1.570655
475,20144,53.817162,-1.570697
476,16131,53.817168,-1.570747
477,14990,53.81717,-1.570798
478,14351,53.817167,-1.57085
479,14486,53.817162,-1.570898
480,14052,53.81717,-1.570967
481,13806,53.817173,-1.571028
482,13734,53.817172,-1.571087
483,13669,53.817178,-1.571133
484,13946,53.817183,-1.571185
485,17205,53.817197,-1.571237
486,14177,53.817208,-1.57129
487,13884,53.817217,-1.571352
488,13946,53.817223,-1.571398
489,13794,53.817238,-1.571443
490,14373,53.817287,-1.571487
491,14400,53.817297,-1.57153
492,14580,53.817303,-1.57159
493,13853,53.81733,-1.571637
494,13463,53.817345,-1.571683
495,13402,53.817358,-1.571742
496,13706,53.817373,-1.5718
497,13623,53.817385,-1.571848
498,13702,53.817385,-1.5719
499,13566,53.817377,-1.571948
500,13558,53.817372,-1.572008
501,13435,53.817375,-1.572062
502,13233,53.817382,-1.572115
503,13340,53.817397,-1.572162
504,13708,53.81741,-1.572208
505,19676,53.817422,-1.572258
506,16116,53.817428,-1.572318
507,15848,53.817433,-1.572368
508,14967,53.817447,-1.57242
509,15111,53.817455,-1.572465
510,15805,53.81746,-1.572515
511,21893,53.817468,-1.572562
512,18145,53.817478,-1.57261
513,44367,53.81748,-1.572662
514,43674,53.817488,-1.572712
515,31628,53.817498,-1.57276
516,26256,53.817498,-1.572815
517,22387,53.817493,-1.572862
518,36963,53.8175,-1.572915
519,16273,53.817512,-1.57297
520,21449,53.81752,-1.573023
521,18984,53.81752,-1.57308
522,15222,53.817528,-1.573133
523,14865,53.817547,-1.573187
524,16515,53.817563,-1.573233
525,15518,53.817583,-1.573293
526,20703,53.817598,-1.573332
527,18426,53.817618,-1.573388
528,25915,53.817642,-1.573438
529,16828,53.817663,-1.57349
530,22628,53.817673,-1.573537
531,21631,53.81769,-1.573587
532,19521,53.817703,-1.57363
533,18808,53.817725,-1.573683
534,17772,53.817752,-1.57373
535,34268,53.817782,-1.573777
536,19460,53.817813,-1.573815
537,27618,53.817837,-1.573838
538,19214,53.817868,-1.57387
539,17449,53.817892,-1.573895
540,15392,53.81791,-1.573937
541,14989,53.81793,-1.573972
542,15149,53.817955,-1.57401
543,17259,53.81798,-1.574033
544,16282,53.818018,-1.57405
545,42485,53.818042,-1.574073
546,39263,53.818073,-1.574105
547,35061,53.818103,-1.574143
548,34357,53.818128,-1.574175
549,21914,53.818167,-1.574207
550,13906,53.818202,-1.574227
551,14514,53.818232,-1.57423
552,14648,53.81826,-1.574262
553,15345,53.818288,-1.574297
554,17068,53.818317,-1.574323
555,22151,53.818348,-1.574348
556,24917,53.818375,-1.574358
557,25125,53.818407,-1.574393
558,23993,53.818432,-1.574422
559,20995,53.818467,-1.57445
560,17194,53.818488,-1.57448
561,18476,53.818512,-1.57451
562,13933,53.818545,-1.574532
563,14668,53.818577,-1.574557
564,18399,53.818607,-1.574575
565,17868,53.818638,-1.574605
566,15966,53.818675,-1.574648
567,15646,53.8187,-1.57467
568,14731,53.818733,-1.574695
569,14451,53.81876,-1.57473
570,15102,53.81878,-1.574762
571,15202,53.818807,-1.5748
572,15224,53.818827,-1.574837
573,15148,53.818855,-1.574882
574,14946,53.81888,-1.574907
575,16665,53.818907,-1.57495
576,14637,53.818938,-1.574987
577,15634,53.818967,-1.575027
578,18075,53.818992,-1.575068
579,18972,53.819012,-1.575105
580,18763,53.819032,-1.575147
581,17646,53.819048,-1.575202
582,18954,53.819063,-1.575255
583,18515,53.819077,-1.575297
584,22777,53.819092,-1.575357
585,23438,53.81912,-1.575378
586,15232,53.819147,-1.57542
587,15251,53.81917,-1.575463
588,14942,53.81919,-1.575508
589,14449,53.819205,-1.57556
590,14924,53.81923,-1.575597
591,34437,53.81925,-1.575637
592,32522,53.819265,-1.575677
593,40401,53.81928,-1.575727
594,30601,53.819292,-1.57577
595,46014,53.819305,-1.575818
596,43166,53.81932,-1.57586
597,31818,53.819342,-1.575923
598,31474,53.819362,-1.575973
599,27311,53.819385,-1.576017
600,27644,53.81941,-1.576035
601,26079,53.819427,-1.576082
602,22294,53.81944,-1.576122
603,21731,53.819462,-1.576153
604,19872,53.81949,-1.576183
605,24146,53.819515,-1.576213
606,24296,53.819542,-1.576237
607,24437,53.819568,-1.576287
608,24568,53.819595,-1.576323
609,23993,53.819613,-1.57636
610,25640,53.819648,-1.576378
611,24740,53.819677,-1.576388
612,23486,53.81971,-1.576395
613,23766,53.819742,-1.576413
614,23027,53.819772,-1.576432
615,24104,53.819802,-1.576445
616,43894,53.819828,-1.576468
617,28710,53.81986,-1.576472
618,26676,53.819892,-1.57649
619,24149,53.819925,-1.576497
620,24522,53.819957,-1.576503
621,19771,53.819985,-1.576527
622,21018,53.820012,-1.576547
623,20283,53.820047,-1.576518
624,21490,53.820085,-1.576498
625,19612,53.820133,-1.576488
626,19931,53.820163,-1.5765
627,15860,53.820195,-1.576517
628,17967,53.820227,-1.576538
629,19176,53.820262,-1.57655
630,16960,53.820292,-1.576562
631,18257,53.820325,-1.57659
632,18277,53.82035,-1.576613
633,15338,53.820375,-1.57664
634,15662,53.820412,-1.576672
635,16099,53.820437,-1.576697
636,14790,53.820463,-1.576723
637,13818,53.820495,-1.576748
638,14171,53.820533,-1.576768
639,14826,53.82056,-1.576798
640,14878,53.820588,-1.576827
641,15094,53.820617,-1.57686
642,18497,53.820632,-1.576903
643,20370,53.820657,-1.576942
644,21109,53.820682,-1.576973
645,19287,53.820707,-1.57701
646,19305,53.820723,-1.577052
647,17793,53.820755,-1.577083
648,17021,53.820782,-1.577118
649,20772,53.820803,-1.577168
650,20333,53.820822,-1.577203
651,18629,53.820843,-1.577237
652,18184,53.820868,-1.577272
653,17426,53.820903,-1.577297
654,18209,53.820942,-1.57732
655,17369,53.820977,-1.577352
656,23167,53.821002,-1.577382
657,22796,53.821023,-1.57741
658,16604,53.821047,-1.577437
659,16536,53.821078,-1.577468
660,16439,53.821103,-1.577497
661,16218,53.821135,-1.57752
662,16688,53.821165,-1.577555
663,17234,53.82117,-1.577605
664,22490,53.821187,-1.577647
665,15922,53.821237,-1.577763
666,16067,53.821263,-1.577805
