,conc,lat,lon
0,6211,53.807162,-1.55597
1,5102,53.80719,-1.555982
2,4923,53.807227,-1.555967
3,5218,53.80726,-1.555973
4,5212,53.807303,-1.555965
5,5215,53.807327,-1.555933
6,5232,53.807362,-1.555923
7,5006,53.807392,-1.555965
8,5051,53.80741,-1.556022
9,5097,53.807427,-1.55608
10,5021,53.807445,-1.556135
11,4968,53.807465,-1.556168
12,4922,53.807483,-1.556207
13,4869,53.807532,-1.556245
14,4894,53.807536,-1.556337
15,4937,53.807537,-1.556372
16,4995,53.807538,-1.556407
17,4859,53.807538,-1.556442
18,4896,53.807539,-1.556477
19,4865,53.80754,-1.556512
20,4734,53.807508,-1.556538
21,4959,53.807495,-1.556597
22,4988,53.807497,-1.556643
23,4865,53.807532,-1.556678
24,4865,53.80756,-1.556702
25,4913,53.807582,-1.556757
26,4874,53.80759,-1.556815
27,4716,53.80762,-1.55687
28,4907,53.807635,-1.556915
29,4890,53.807647,-1.556957
30,4859,53.807653,-1.557003
31,5251,53.807672,-1.557065
32,5005,53.807697,-1.557105
33,4968,53.807735,-1.557098
34,5380,53.807768,-1.557098
35,5382,53.80781,-1.557113
36,5436,53.807843,-1.557132
37,5718,53.807868,-1.557162
38,5582,53.807905,-1.557145
39,16777200,53.807923,-1.557107
40,16777200,53.80795,-1.557093
41,0,53.807983,-1.557072
42,872,53.808023,-1.557068
43,1822,53.808062,-1.557072
44,2524,53.808098,-1.557075
45,3007,53.808135,-1.557068
46,3576,53.808163,-1.557057
47,4033,53.808195,-1.557045
48,4294,53.80823,-1.557032
49,4556,53.80826,-1.557027
50,4688,53.808295,-1.557017
51,4996,53.80833,-1.556998
52,4951,53.80836,-1.556985
53,5004,53.808387,-1.556962
54,5109,53.808422,-1.556947
55,5137,53.808457,-1.556933
56,5194,53.808487,-1.556917
57,5046,53.808518,-1.556897
58,5060,53.808547,-1.556877
59,5154,53.808585,-1.556855
60,5197,53.80861,-1.556837
61,5118,53.808647,-1.556808
62,5245,53.80867,-1.556777
63,5029,53.808692,-1.556727
64,4898,53.808707,-1.556688
65,4759,53.808732,-1.556637
66,5071,53.808757,-1.556607
67,5150,53.80879,-1.556587
68,4772,53.80882,-1.556558
69,4764,53.80885,-1.556535
70,5012,53.808883,-1.556515
71,5015,53.808912,-1.556505
72,5260,53.808945,-1.556498
73,5299,53.808978,-1.556492
74,5321,53.809017,-1.556483
75,5251,53.809055,-1.556472
76,5257,53.809095,-1.556462
77,5429,53.809123,-1.556463
78,5229,53.809155,-1.556453
79,5167,53.80919,-1.556453
80,5181,53.80922,-1.556452
81,5262,53.809248,-1.556438
82,5197,53.809285,-1.556418
83,5446,53.809332,-1.55643
84,5442,53.809363,-1.556435
85,5623,53.809395,-1.556453
86,5969,53.809428,-1.55648
87,6035,53.809448,-1.556535
88,5733,53.809462,-1.55659
89,5987,53.80946,-1.556653
90,8802,53.809478,-1.556695
91,9088,53.809502,-1.556728
92,5644,53.809535,-1.556747
93,5020,53.809578,-1.556788
94,4590,53.809615,-1.556815
95,4435,53.809625,-1.55687
96,4467,53.809635,-1.556928
97,4459,53.809658,-1.556978
98,4529,53.80968,-1.557023
99,4467,53.809692,-1.55708
100,4643,53.8097,-1.557135
101,4542,53.809712,-1.557188
102,4620,53.809733,-1.557228
103,4509,53.809748,-1.557285
104,4684,53.809768,-1.557338
105,4629,53.809793,-1.557372
106,4949,53.809795,-1.557438
107,4749,53.80981,-1.55749
108,4712,53.809822,-1.557538
109,4918,53.809813,-1.557587
110,5007,53.809812,-1.557647
111,4876,53.809828,-1.5577
112,4964,53.809858,-1.55772
113,4787,53.809882,-1.557695
114,4896,53.809907,-1.55767
115,4892,53.809938,-1.557633
116,4786,53.809962,-1.557595
117,4717,53.809995,-1.557555
118,4681,53.810023,-1.557517
119,4750,53.810038,-1.557473
120,4662,53.810063,-1.557445
121,4665,53.81009,-1.557403
122,4699,53.81012,-1.557368
123,4651,53.810147,-1.557332
124,4634,53.810162,-1.55728
125,4569,53.810183,-1.55723
126,4620,53.810202,-1.557183
127,4544,53.81022,-1.557143
128,4859,53.81024,-1.557103
129,4788,53.810253,-1.55705
130,4967,53.810277,-1.557
131,4943,53.810297,-1.556943
132,4985,53.810317,-1.55689
133,5066,53.810337,-1.556857
134,4967,53.81036,-1.55682
135,4928,53.81038,-1.556787
136,4851,53.810402,-1.556747
137,4864,53.810428,-1.556708
138,4748,53.81046,-1.556668
139,4880,53.810475,-1.556623
140,12980,53.810488,-1.556557
141,7662,53.810513,-1.55651
142,5036,53.81053,-1.556468
143,5529,53.810562,-1.556473
144,5590,53.810588,-1.556497
145,5718,53.810625,-1.5565
146,5523,53.810667,-1.556508
147,5336,53.810693,-1.55653
148,5437,53.810718,-1.556553
149,5284,53.81075,-1.556592
150,5377,53.810775,-1.556638
151,6363,53.810798,-1.556675
