,conc,lat,lon
0,18233,53.807208,-1.555835
1,18488,53.807228,-1.555783
2,18583,53.80728,-1.555747
3,18574,53.807308,-1.55574
4,18605,53.80734,-1.55575
5,17780,53.807378,-1.555745
6,17180,53.807383,-1.555797
7,18067,53.807437,-1.555785
8,18027,53.807452,-1.555832
9,20682,53.807468,-1.555877
10,19182,53.807473,-1.555935
11,19119,53.807495,-1.555987
12,17744,53.807485,-1.556177
13,18336,53.80749,-1.556228
14,19133,53.80749,-1.556277
15,19408,53.807467,-1.556358
16,20354,53.80746,-1.55641
17,20610,53.80747,-1.556493
18,20054,53.8075,-1.556558
19,19739,53.807513,-1.556627
20,20139,53.80751,-1.556702
21,20451,53.8075,-1.556752
22,21068,53.807495,-1.556808
23,21822,53.807527,-1.556878
24,21186,53.807548,-1.556925
25,20208,53.80754,-1.55698
26,19525,53.807565,-1.557053
27,20150,53.807537,-1.557052
28,20356,53.807565,-1.557043
29,19731,53.807665,-1.557038
30,20350,53.807715,-1.557047
31,20331,53.807787,-1.557095
32,20926,53.807827,-1.557128
33,21109,53.807865,-1.557185
34,21226,53.807885,-1.557217
35,21137,53.807912,-1.557263
36,20746,53.807913,-1.557317
37,19913,53.807935,-1.557345
38,21223,53.80791,-1.557346
39,21702,53.807888,-1.5573
40,20892,53.807848,-1.55723
41,21514,53.807825,-1.557172
42,19902,53.807847,-1.557075
43,19182,53.807868,-1.557028
44,19254,53.807882,-1.556985
45,18277,53.807908,-1.557008
46,18336,53.807922,-1.557057
47,18536,53.807947,-1.557125
48,18392,53.807968,-1.557162
49,18295,53.808018,-1.55719
50,18357,53.80805,-1.55719
51,18219,53.808095,-1.557175
52,18378,53.808138,-1.55716
53,18483,53.808167,-1.557132
54,18847,53.808193,-1.557103
55,18922,53.808218,-1.557077
56,18791,53.808237,-1.55703
57,18719,53.808268,-1.557017
58,18628,53.808295,-1.557032
59,18016,53.808335,-1.557037
60,17224,53.808367,-1.557047
61,17475,53.808395,-1.557057
62,16978,53.808417,-1.557023
63,16902,53.808442,-1.556992
64,18762,53.80847,-1.55696
65,20146,53.808502,-1.556947
66,20259,53.808538,-1.556922
67,20165,53.808568,-1.55691
68,19558,53.808613,-1.556878
69,19125,53.808643,-1.556833
70,19245,53.808673,-1.556805
71,19772,53.808697,-1.55678
72,19218,53.808725,-1.556773
73,20417,53.808757,-1.556758
74,20331,53.808788,-1.556755
75,19959,53.80885,-1.556675
76,19972,53.808872,-1.556627
77,20249,53.808897,-1.556597
78,20204,53.808927,-1.556573
79,20042,53.808963,-1.556552
80,19572,53.808987,-1.556528
81,19722,53.809042,-1.556507
82,19508,53.809078,-1.556502
83,19682,53.809122,-1.556463
84,19769,53.809157,-1.556438
85,19614,53.809195,-1.556427
86,19473,53.809223,-1.556445
87,19826,53.809243,-1.55649
88,19387,53.809273,-1.556452
89,19246,53.809318,-1.556482
90,18345,53.809347,-1.556517
91,18570,53.809395,-1.55657
92,18514,53.809423,-1.556592
93,18895,53.809448,-1.556622
94,18994,53.809475,-1.556678
95,18764,53.809497,-1.556738
96,18527,53.809513,-1.556782
97,18210,53.809508,-1.556845
98,18213,53.809517,-1.556915
99,18149,53.80954,-1.556952
100,17930,53.809537,-1.557002
101,17455,53.809562,-1.556963
102,17446,53.809588,-1.556973
103,17871,53.809613,-1.556993
104,17276,53.809618,-1.557055
105,17568,53.809623,-1.557102
106,17666,53.809633,-1.557165
107,17629,53.809657,-1.557217
108,16792,53.80967,-1.55727
109,16811,53.809685,-1.557318
110,17005,53.809707,-1.557373
111,17391,53.809718,-1.55742
112,17273,53.809728,-1.557487
113,17346,53.809733,-1.557545
114,17263,53.809747,-1.5576
115,17694,53.80977,-1.55765
116,17664,53.809802,-1.557692
117,17765,53.809838,-1.55773
118,17713,53.809868,-1.557762
119,17460,53.809893,-1.557802
120,18978,53.809917,-1.557827
121,38039,53.809943,-1.55785
122,43945,53.809963,-1.557818
123,33587,53.809988,-1.557797
124,40447,53.810018,-1.557757
125,20173,53.810045,-1.557732
126,18596,53.810053,-1.557678
127,18802,53.81007,-1.557642
128,20972,53.810083,-1.557587
129,21734,53.810102,-1.557548
130,19758,53.81012,-1.55751
131,24392,53.81014,-1.557457
132,26547,53.810167,-1.55742
133,27622,53.810195,-1.557407
134,27871,53.810227,-1.557378
135,25501,53.810265,-1.557352
136,29230,53.810293,-1.557338
137,29569,53.810323,-1.557348
138,31328,53.810362,-1.557363
139,31553,53.810388,-1.557373
140,31067,53.810415,-1.557355
141,30078,53.810433,-1.557302
142,30583,53.810462,-1.557273
143,31132,53.81048,-1.557228
144,28733,53.810515,-1.55718
145,28553,53.810537,-1.557145
146,28180,53.810563,-1.557105
147,34937,53.810577,-1.557043
148,38222,53.810603,-1.557008
149,24685,53.810617,-1.556963
150,24822,53.81063,-1.556922
151,23404,53.810637,-1.556867
152,21723,53.810642,-1.556802
153,20540,53.81063,-1.556748
154,20126,53.810617,-1.556682
155,20317,53.81061,-1.556635
156,19894,53.810632,-1.556595
157,19138,53.810678,-1.556562
158,17017,53.810618,-1.556557
159,17496,53.810595,-1.556532
160,17174,53.810577,-1.556482
161,17581,53.810607,-1.556465
162,18646,53.810635,-1.55647
